HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:32555	SCARNA1	small Cajal body-specific RNA 1	Approved	RNA, small nucleolar		ACA35	1p35.3	677774	ENSG00000252947		847	Small Cajal body-specific RNAs
HGNC:32567	SCARNA10	small Cajal body-specific RNA 10	Approved	RNA, small nucleolar		U85	12p13.31	692148	ENSG00000239002	OTTHUMG00000169160	847	Small Cajal body-specific RNAs
HGNC:32568	SCARNA11	small Cajal body-specific RNA 11	Approved	RNA, small nucleolar		ACA57	12p13.31	677780	ENSG00000251898		847	Small Cajal body-specific RNAs
HGNC:32569	SCARNA12	small Cajal body-specific RNA 12	Approved	RNA, small nucleolar		U89	12p13.31	677777	ENSG00000238795		847	Small Cajal body-specific RNAs
HGNC:32570	SCARNA13	small Cajal body-specific RNA 13	Approved	RNA, small nucleolar		U93	14q32.12	677768	ENSG00000252481		847	Small Cajal body-specific RNAs
HGNC:32571	SCARNA14	small Cajal body-specific RNA 14	Approved	RNA, small nucleolar		U100	15q22.31	692149	ENSG00000252712		847	Small Cajal body-specific RNAs
HGNC:32572	SCARNA15	small Cajal body-specific RNA 15	Approved	RNA, small nucleolar		ACA45	15q25.2	677778	ENSG00000277864		847	Small Cajal body-specific RNAs
HGNC:32573	SCARNA16	small Cajal body-specific RNA 16	Approved	RNA, small nucleolar		ACA47	17q25.2	677781	ENSG00000275143		847	Small Cajal body-specific RNAs
HGNC:32574	SCARNA17	small Cajal body-specific RNA 17	Approved	RNA, small nucleolar		mgU12-22/U4-8, U91	18q21.1	677769	ENSG00000251992	OTTHUMG00000179829	847	Small Cajal body-specific RNAs
HGNC:32559	SCARNA18	small Cajal body-specific RNA 18	Approved	RNA, small nucleolar		U109, SCARNA18A	5q14.2	677765	ENSG00000238835		847	Small Cajal body-specific RNAs
HGNC:32558	SCARNA2	small Cajal body-specific RNA 2	Approved	RNA, small nucleolar		mgU2-25/61, HBII-382	1q13.1	677766	ENSG00000278249	OTTHUMG00000184013	847	Small Cajal body-specific RNAs
HGNC:32578	SCARNA20	small Cajal body-specific RNA 20	Approved	RNA, small nucleolar		ACA66	17q23.2	677681	ENSG00000252577		847	Small Cajal body-specific RNAs
HGNC:32579	SCARNA21	small Cajal body-specific RNA 21	Approved	RNA, small nucleolar		ACA68, SCARNA21A	17p13.1	677763	ENSG00000252835		847	Small Cajal body-specific RNAs
HGNC:32580	SCARNA22	small Cajal body-specific RNA 22	Approved	RNA, small nucleolar		ACA11	4p16.3	677770	ENSG00000249784	OTTHUMG00000161833	847	Small Cajal body-specific RNAs
HGNC:32581	SCARNA23	small Cajal body-specific RNA 23	Approved	RNA, small nucleolar		ACA12	Xp22.11	677773	ENSG00000251869		847	Small Cajal body-specific RNAs
HGNC:50385	SCARNA26A	small Cajal body-specific RNA 26A	Approved	RNA, small nucleolar			1q22	106633810			847	Small Cajal body-specific RNAs
HGNC:51394	SCARNA26B	small Cajal body-specific RNA 26B	Approved	RNA, small nucleolar			1q22	106633816			847	Small Cajal body-specific RNAs
HGNC:33614	SCARNA27	small Cajal body-specific RNA 27	Approved	RNA, small nucleolar			6p24.3	100124533			847	Small Cajal body-specific RNAs
HGNC:50388	SCARNA28	small Cajal body-specific RNA 28	Approved	RNA, small nucleolar		ZL1	7q22.1	106633801			847	Small Cajal body-specific RNAs
HGNC:32577	SCARNA3	small Cajal body-specific RNA 3	Approved	RNA, small nucleolar		HBI-100	1q25.1	677679	ENSG00000252906		847	Small Cajal body-specific RNAs
HGNC:32560	SCARNA4	small Cajal body-specific RNA 4	Approved	RNA, small nucleolar		ACA26	1q22	677771	ENSG00000280466		847	Small Cajal body-specific RNAs
HGNC:32561	SCARNA5	small Cajal body-specific RNA 5	Approved	RNA, small nucleolar		U87	2q37.1	677775	ENSG00000252010		847	Small Cajal body-specific RNAs
HGNC:32562	SCARNA6	small Cajal body-specific RNA 6	Approved	RNA, small nucleolar		U88	2q37.1	677772	ENSG00000251791		847	Small Cajal body-specific RNAs
HGNC:32563	SCARNA7	small Cajal body-specific RNA 7	Approved	RNA, small nucleolar		U90	3q25.22	677767	ENSG00000238741		847	Small Cajal body-specific RNAs
HGNC:32564	SCARNA8	small Cajal body-specific RNA 8	Approved	RNA, small nucleolar		U92	9p22.1	677776	ENSG00000251733		847	Small Cajal body-specific RNAs
