HGNC.ID	Approved.symbol	Approved.name	Status	Locus.type	Previous.symbols	Synonyms	Chromosome	Ensembl.gene.ID	Group.ID	Group.name
HGNC:10120	RNU1-1	"RNA, U1 small nuclear 1"	Approved	"RNA, small nuclear"	"RNU1, RNU1G4, RNU1A3, RNU1A"	"Rnu1a1, U1, HU1-1, U1A1, HSD1"	1p36.13	ENSG00000206652	849	Small nuclear RNAs
HGNC:10212	RNU5B-1	"RNA, U5B small nuclear 1"	Approved	"RNA, small nuclear"	RNU5B	U5B1	15q22	ENSG00000200156	849	Small nuclear RNAs
HGNC:10214	RNU5D-1	"RNA, U5D small nuclear 1"	Approved	"RNA, small nuclear"	RNU5D	"U5DS, U5DL"	1p34.1	ENSG00000200169	849	Small nuclear RNAs
HGNC:10215	RNU5E-1	"RNA, U5E small nuclear 1"	Approved	"RNA, small nuclear"	RNU5E	U5E	1p36.22	ENSG00000199347	849	Small nuclear RNAs
HGNC:10216	RNU5F-1	"RNA, U5F small nuclear 1"	Approved	"RNA, small nuclear"	RNU5F		1p34.1	ENSG00000199377	849	Small nuclear RNAs
HGNC:10227	RNU6-1	"RNA, U6 small nuclear 1"	Approved	"RNA, small nuclear"	RNU6A	"U6, U6-1"	15q23	ENSG00000206625	849	Small nuclear RNAs
HGNC:34270	RNU6-2	"RNA, U6 small nuclear 2"	Approved	"RNA, small nuclear"		U6-2	19p13.3	ENSG00000207357	849	Small nuclear RNAs
HGNC:34284	RNU6-7	"RNA, U6 small nuclear 7"	Approved	"RNA, small nuclear"		U6-7	14q12	ENSG00000201654	849	Small nuclear RNAs
HGNC:34285	RNU6-8	"RNA, U6 small nuclear 8"	Approved	"RNA, small nuclear"		U6-8	14q12	ENSG00000202337	849	Small nuclear RNAs
HGNC:34269	RNU6-9	"RNA, U6 small nuclear 9"	Approved	"RNA, small nuclear"		U6-9	19p13.3	ENSG00000207507	849	Small nuclear RNAs
HGNC:34017	RNU6ATAC	"RNA, U6atac small nuclear (U12-dependent splicing)"	Approved	"RNA, small nuclear"		RNU6ATAC1	9q34.2	ENSG00000221676	849	Small nuclear RNAs
HGNC:10123	RNU1-2	"RNA, U1 small nuclear 2"	Approved	"RNA, small nuclear"	"RNU1C1, RNU1C2"	"U1C1, U1C21"	1p36.13	ENSG00000207005	849	Small nuclear RNAs
HGNC:34033	RNU7-1	"RNA, U7 small nuclear 1"	Approved	"RNA, small nuclear"	RNU7	U7.1	12p13.31	ENSG00000238923	849	Small nuclear RNAs
HGNC:10108	RNU11	"RNA, U11 small nuclear"	Approved	"RNA, small nuclear"		"U11, RNU11-1"	1p35.3	ENSG00000274978	849	Small nuclear RNAs
HGNC:19380	RNU12	"RNA, U12 small nuclear"	Approved	"RNA, small nuclear"	RNU12P	RNU12-1	22q13.2	ENSG00000276027	849	Small nuclear RNAs
HGNC:10130	RNU1-3	"RNA, U1 small nuclear 3"	Approved	"RNA, small nuclear"	RNU1G3	HSD4	1p36.1	ENSG00000207513	849	Small nuclear RNAs
HGNC:10128	RNU1-4	"RNA, U1 small nuclear 4"	Approved	"RNA, small nuclear"	"RNU1E2, RNU1G2, RNU1D2, RNU1F1, RNU1G1"	"HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7"	1p36.1	ENSG00000207389	849	Small nuclear RNAs
HGNC:10142	RNU2-1	"RNA, U2 small nuclear 1"	Approved	"RNA, small nuclear"		U2	17q12	ENSG00000274585	849	Small nuclear RNAs
HGNC:10192	RNU4-1	"RNA, U4 small nuclear 1"	Approved	"RNA, small nuclear"	"RNU4B2, RNU4A"	"U4BL, U4"	12q24.31	ENSG00000200795	849	Small nuclear RNAs
HGNC:10193	RNU4-2	"RNA, U4 small nuclear 2"	Approved	"RNA, small nuclear"	"RNU4C, RNU4-1B, RNU4B1"	"U4c, U4b, U4A"	12q24.31	ENSG00000202538	849	Small nuclear RNAs
HGNC:34016	RNU4ATAC	"RNA, U4atac small nuclear (U12-dependent splicing)"	Approved	"RNA, small nuclear"		"RNU4ATAC1, U4atac"	2q14.2	ENSG00000264229	849	Small nuclear RNAs
HGNC:10211	RNU5A-1	"RNA, U5A small nuclear 1"	Approved	"RNA, small nuclear"	"RNU5C, RNU5A"	"U5A, U5B1"	15q22.31	ENSG00000199568	849	Small nuclear RNAs
HGNC:10133	RNVU1-1	"RNA, variant U1 small nuclear 1"	Approved	"RNA, small nuclear"	"RNU1P10, RNU1-10P, RNVU1-10"	"vU1.1, U1P14, U1.4, vU1.10, RNU1-53"	1q21.1	ENSG00000207340	1819	variant U1 small nuclear RNAs
HGNC:48319	RNVU1-14	"RNA, variant U1 small nuclear 14"	Approved	"RNA, small nuclear"		"vU1.14, RNU1-37"	1q21.2	ENSG00000207501	1819	variant U1 small nuclear RNAs
HGNC:48320	RNVU1-15	"RNA, variant U1 small nuclear 15"	Approved	"RNA, small nuclear"	RNVU1-16	"vU1.15, RNU1-66, vU1.16, RNU1-121"	1q21.2	ENSG00000207205	1819	variant U1 small nuclear RNAs
HGNC:48322	RNVU1-17	"RNA, variant U1 small nuclear 17"	Approved	"RNA, small nuclear"		"vU1.17, RNU1-127"	1q21.2	ENSG00000207349	1819	variant U1 small nuclear RNAs
HGNC:37496	RNVU1-18	"RNA, variant U1 small nuclear 18"	Approved	"RNA, small nuclear"	"RNU1P1, RNU1-5, RNU1-25, RNU1-25P"	"vU1.18, U1P101, U1P15, U1.15"	1q21.2	ENSG00000206737	1819	variant U1 small nuclear RNAs
HGNC:48324	RNVU1-19	"RNA, variant U1 small nuclear 19"	Approved	"RNA, small nuclear"	RNVU1-13	"vU1.19, RNU1-126, vU1.13, RNU1-147"	1q21.2	ENSG00000275538	1819	variant U1 small nuclear RNAs
HGNC:48308	RNVU1-2	"RNA, variant U1 small nuclear 2"	Approved	"RNA, small nuclear"		"vU1.2, RNU1-71"	1q21.1	ENSG00000252135	1819	variant U1 small nuclear RNAs
HGNC:48311	RNVU1-3	"RNA, variant U1 small nuclear 3"	Approved	"RNA, small nuclear"	RNVU1-12	"vU1.3, RNU1-113, vU1.12, RNU1-151"	1q21.1	ENSG00000201183	1819	variant U1 small nuclear RNAs
HGNC:48312	RNVU1-4	"RNA, variant U1 small nuclear 4"	Approved	"RNA, small nuclear"	RNVU1-5	"vU1.4, RNU1-102, vU1.5, RNU1-50"	1q21.1	ENSG00000277610	1819	variant U1 small nuclear RNAs
HGNC:48314	RNVU1-6	"RNA, variant U1 small nuclear 6"	Approved	"RNA, small nuclear"		"vU1.6, RNU1-99"	1q21.1	ENSG00000201558	1819	variant U1 small nuclear RNAs
